--------- beginning of main
01-05 17:54:03.420   245   245 I auditd  : type=1403 audit(0.0:2): policy loaded auid=4294967295 ses=4294967295
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.777   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.777   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.778   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.778   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.779   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.779   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.780   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.780   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.781   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.781   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.781   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.781   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.781   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.781   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.781   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
01-05 17:54:05.781   244   244 D [mTEE]  : [D] main : 1160 read result = -1.
01-05 17:54:05.781   244   244 D [mTEE]  : [E] main : 1162 Can not read the VFS device node, len = [-1] errno = [22].
